"id","atividade","unidade"
1,"Corte da terra","h/m"
2,"Preparo da terra","d/h/a"
3,"Plantio","d/h"
4,"Replantio","d/h"
5,"Adubação","d/h"
6,"Aplicação de caolim","d/h"
7,"Capina tração animal","d/h"
8,"1ª capina","d/h"
9,"2ª capina","d/h"
10,"Catação de botão floral","d/h"
11,"Semente milho","kg"
12,"Semente feijão","kg"
13,"Semente algodão","kg"
14,"Semente gergelim","kg"
15,"Semente sorgo","kg"
16,"Semente cunhã","kg"
17,"Biofertilizante","l"
18,"Esterco","ton"
19,"Colheita","dias"
20,"Beneficiamento","dias"
21,"Aração","h/d/a"
22,"Limpa da terra","h/d"
23,"Aplicação de biofertilizante","h/d"
24,"Desbaste","h/d"
25,"Semente amendoim","kg"
26,"Destruição dos restos culturais",NA
1500001,"ATIVIDADE",""
