"id","nome_comunidade","nome_cidade","id_regiao"
35,"Brejinho","Olho D'Água dos Borges",1
36,"São Geraldo","Olho D'Água dos Borges",1
10,"Cacimbinha","S. João do Tigre",2
13,"P.A dos Dez","Monteiro",2
14,"Pitombeira","Sumé",2
15,"Riachão","Sumé",2
16,"T.Vermelha","Sumé",2
17,"P.A Pinheiros","Coxixola",2
18,"P.A Novo Mundo","Camalaú",2
19,"P.A Serra do Monte","Cabaceiras",2
20,"P.A Serrote Agudo","Prata",2
25,"Sitio Do Melo","Prata",2
26,"Sitio do Gois","Apodi",1
27,"Tabuleiro Grande","Apodi",1
28,"Moacir Lucena","Apodi",1
29,"Milagre","Apodi",1
31,"Morcego","Campo Grande",1
32,"Bom Jesus","Campo Grande",1
33,"Verruma","Janduis",1
34,"Arrimo","Janduis",1
30,"Santo Antonio","Gov. Dx Sept Rosado",1
11,"Cacimba de Cavalo","Livramento",2
21,"P. A Paus Brancos","Livramento",2
22,"Salgadinho","Amparo",2
23,"Salitre","Livramento",2
24,"P.A Mandacaru","Sumé",2
1,"Assent. Riachão","Ingazeira",3
2,"Assent. Jorge","Ingazeira",3
3,"Assent. Ramada da Quixabeira","Iguaracy",3
4,"Assent. Mocós","Iguaracy",3
5,"Assent. Lajinha","Serra Talhada",3
7,"Assent. Santa Rita","Serra Talhada",3
8,"Comunid. Pilãozinho","Serra Talhada",3
9,"Assent. Riacho da Onça","Afodagos da Ingazeira / Tabira",3
12,"Mão Beijada","São Sebastião do Umbuzeiro",2
6,"Assent. Poldrinho","Serra Talhada",3
