"id","id_atividade","id_regiao","quantidade","valor_unitario","area","ano"
2,1,1,3.5,80,1.9,2011
3,1,1,3.5,80,1.9,2012
4,1,1,3.5,80,1.9,2013
6,3,1,4,25,1.9,2011
7,3,1,4,25,1.9,2012
8,3,1,4,25,1.9,2013
10,4,1,1,25,1.9,2011
11,4,1,1,25,1.9,2012
12,4,1,1,25,1.9,2013
14,5,1,3,25,1.9,2011
15,5,1,3,25,1.9,2012
16,5,1,3,25,1.9,2013
18,8,1,4,25,1.9,2011
19,8,1,4,25,1.9,2012
20,8,1,4,25,1.9,2013
22,9,1,3,25,1.9,2011
23,9,1,3,25,1.9,2012
24,9,1,3,25,1.9,2013
26,10,1,1,25,1.9,2011
27,10,1,1,25,1.9,2012
28,10,1,1,25,1.9,2013
29,11,1,10,8,1.9,2013
30,11,1,10,8,1.9,2012
31,11,1,10,8,1.9,2011
34,12,1,10,8,1.9,2011
35,12,1,10,8,1.9,2012
36,12,1,10,8,1.9,2013
38,13,1,20,8,1.9,2011
39,13,1,20,8,1.9,2012
40,13,1,20,8,1.9,2013
42,14,1,1,8,1.9,2011
43,14,1,1,8,1.9,2012
44,14,1,1,8,1.9,2013
46,15,1,2,8,1.9,2011
47,15,1,2,8,1.9,2012
48,15,1,2,8,1.9,2013
50,17,1,1,21,1.9,2011
51,17,1,1,21,1.9,2012
52,17,1,1,21,1.9,2013
54,19,1,20,25,1.9,2011
55,19,1,20,25,1.9,2012
56,19,1,20,25,1.9,2013
58,20,1,20,25,1.9,2011
59,20,1,20,25,1.9,2012
60,20,1,20,25,1.9,2013
61,1,2,3.5,60,1.97,2010
62,1,2,3.5,60,1.97,2011
63,1,2,3.5,60,1.97,2012
64,1,2,3.5,60,1.97,2013
65,2,2,2.5,20,1.97,2010
66,2,2,2.5,20,1.97,2011
67,2,2,2.5,20,1.97,2012
68,2,2,2.5,20,1.97,2013
69,3,2,4.5,20,1.97,2010
70,3,2,4.5,20,1.97,2011
71,3,2,4.5,20,1.97,2012
72,3,2,4.5,20,1.97,2013
73,4,2,1,20,1.97,2010
74,4,2,1,20,1.97,2011
75,4,2,1,20,1.97,2012
76,4,2,1,20,1.97,2013
77,5,2,0,20,1.97,2010
78,5,2,0,20,1.97,2011
79,5,2,0,20,1.97,2012
80,5,2,0,20,1.97,2013
81,6,2,4,20,1.97,2010
82,6,2,4,20,1.97,2011
83,6,2,4,20,1.97,2012
84,6,2,4,20,1.97,2013
85,7,2,4,50,1.97,2010
86,7,2,4,50,1.97,2011
87,7,2,4,50,1.97,2012
88,7,2,4,50,1.97,2013
89,8,2,10,20,1.97,2010
90,8,2,10,20,1.97,2011
91,8,2,10,20,1.97,2012
92,8,2,10,20,1.97,2013
93,9,2,12,20,1.97,2013
94,9,2,12,20,1.97,2012
95,9,2,12,20,1.97,2011
96,9,2,12,20,1.97,2010
97,10,2,1,20,1.97,2010
98,10,2,1,20,1.97,2011
99,10,2,1,20,1.97,2012
100,10,2,1,20,1.97,2013
101,11,2,9.75,8,1.97,2010
102,11,2,9.75,8,1.97,2011
103,11,2,9.75,8,1.97,2012
104,11,2,9.75,8,1.97,2013
105,12,2,3,8,1.97,2010
106,12,2,3,8,1.97,2011
107,12,2,3,8,1.97,2012
108,12,2,3,8,1.97,2013
109,13,2,15,8,1.97,2010
110,13,2,15,8,1.97,2011
111,13,2,15,8,1.97,2012
112,13,2,15,8,1.97,2013
113,14,2,0.5,8,1.97,2010
114,14,2,0.5,8,1.97,2011
115,14,2,0.5,8,1.97,2012
116,14,2,0.5,8,1.97,2013
117,15,2,1,8,1.97,2010
118,15,2,1,8,1.97,2011
119,15,2,1,8,1.97,2012
120,15,2,1,8,1.97,2013
121,19,2,20,20,1.97,2010
122,19,2,20,20,1.97,2011
123,19,2,20,20,1.97,2012
124,19,2,20,20,1.97,2013
125,20,2,10,20,1.97,2010
126,20,2,10,20,1.97,2011
127,20,2,10,20,1.97,2012
128,20,2,10,20,1.97,2013
129,3,3,4,25,0.97,2010
130,3,3,4,25,0.97,2011
131,3,3,4,25,0.97,2012
132,3,3,4,25,0.97,2013
133,4,3,0,25,0.97,2010
134,4,3,0,25,0.97,2011
135,4,3,0,25,0.97,2012
136,4,3,0,25,0.97,2013
137,8,3,15,25,0.97,2010
138,8,3,15,25,0.97,2011
139,8,3,15,25,0.97,2012
140,8,3,15,25,0.97,2013
141,9,3,10,25,0.97,2010
142,9,3,10,25,0.97,2011
143,9,3,10,25,0.97,2012
144,9,3,10,25,0.97,2013
145,10,3,4,25,0.97,2010
146,10,3,4,25,0.97,2011
147,10,3,4,25,0.97,2012
148,10,3,4,25,0.97,2013
149,11,3,4.5,8,0.97,2010
150,11,3,4.5,8,0.97,2011
151,11,3,4.5,8,0.97,2012
152,11,3,4.5,8,0.97,2013
153,12,3,7,8,0.97,2010
154,12,3,7,8,0.97,2011
155,12,3,7,8,0.97,2012
156,12,3,7,8,0.97,2013
157,13,3,7,8,0.97,2013
158,13,3,7,8,0.97,2012
159,13,3,7,8,0.97,2011
160,13,3,7,8,0.97,2010
161,14,3,0.3,8,0.97,2010
162,14,3,0.3,8,0.97,2011
163,14,3,0.3,8,0.97,2012
164,14,3,0.3,8,0.97,2013
165,15,3,2,8,0.97,2010
166,15,3,2,8,0.97,2011
167,15,3,2,8,0.97,2012
168,15,3,2,8,0.97,2013
169,17,3,1,21,0.97,2010
170,17,3,1,21,0.97,2011
171,17,3,1,21,0.97,2012
172,17,3,1,21,0.97,2013
173,19,3,20,25,0.97,2010
174,19,3,20,25,0.97,2011
175,19,3,20,25,0.97,2012
176,19,3,20,25,0.97,2013
177,20,3,10,25,0.97,2010
178,20,3,10,25,0.97,2011
179,20,3,10,25,0.97,2012
180,20,3,10,25,0.97,2013
181,21,3,3,60,0.97,2010
182,21,3,3,60,0.97,2011
183,21,3,3,60,0.97,2012
184,21,3,3,60,0.97,2013
185,23,3,1,25,0.97,2010
186,23,3,1,25,0.97,2011
187,23,3,1,25,0.97,2012
188,23,3,1,25,0.97,2013
5,3,1,4,25,1.9,2010
9,4,1,1,25,1.9,2010
13,5,1,3,25,1.9,2010
17,8,1,4,25,1.9,2010
21,9,1,3,25,1.9,2010
25,10,1,1,25,1.9,2010
32,11,1,10,8,1.9,2010
33,12,1,10,8,1.9,2010
37,13,1,20,8,1.9,2010
41,14,1,1,8,1.9,2010
45,15,1,2,8,1.9,2010
49,17,1,1,21,1.9,2010
53,19,1,20,25,1.9,2010
750001,1,1,3.5,80,1.9,2010
57,20,1,20,25,1.9,2010
2500001,1500001,1,100,20,1.9,2013
